id,title,common_name,genre,year,language,path
1827,Wait Till the Sun Shines Nellie,Harry Von Tilzer,Rock,1905,English,dataset/Andrew_B._Sterling-Harry_Von_Tilzer/Wait_Till_the_Sun_Shines_Nellie/Wait_Till_the_Sun_Shines_Nellie.mxl
1872,By Strauss,George Gershwin,Pop,1936,English,dataset/George_Gershwin-Ira_Gershwin/By_Strauss/By_Strauss.mxl
1895,Home Sweet Home,John Howard Payne [1],Pop,1821,English,dataset/Henry_Rowley_Bishop-John_Howard_Payne_[1]/Home_Sweet_Home/Home_Sweet_Home.mxl
1903,Breezin' Along with the Breeze,Richard A. Whiting,Pop,1926,English,dataset/Haven_Gillespie-Richard_A._Whiting-Seymour_Simons/Breezin'_Along_with_the_Breeze/Breezin'_Along_with_the_Breeze.mxl
1912,My Mammy,Walter Donaldson,Rock,1920,English,dataset/Joe_Young-Sam_Lewis-Walter_Donaldson/My_Mammy/My_Mammy.mxl
1941,Walkin' My Baby Back Home,Roy Turk,Pop,1930,English,dataset/Fred_E._Ahlert-Roy_Turk/Walkin'_My_Baby_Back_Home/Walkin'_My_Baby_Back_Home.mxl
1959,"Swing Low, Sweet Chariot",[Traditional],Rock,1909,English,"dataset/[Traditional]/Swing_Low,_Sweet_Chariot/Swing_Low,_Sweet_Chariot.mxl"
1967,What Shall We Do with a Drunken Sailor?,[Traditional],Pop,,English,dataset/[Traditional]/What_Shall_We_Do_with_a_Drunken_Sailor?/What_Shall_We_Do_with_a_Drunken_Sailor?.mxl
1979,That Certain Feeling,George Gershwin,Pop,1925,English,dataset/George_Gershwin-Ira_Gershwin/That_Certain_Feeling/That_Certain_Feeling.mxl
1984,Glad to Be Unhappy,Lorenz Hart,Rock,1936,English,dataset/Lorenz_Hart-Richard_Rodgers/Glad_to_Be_Unhappy/Glad_to_Be_Unhappy.mxl
2056,My Old Kentucky Home - Good-Night!,Stephen Foster,Pop,1845,English,dataset/Stephen_Foster/My_Old_Kentucky_Home_-_Good-Night!/My_Old_Kentucky_Home_-_Good-Night!.mxl
2059,I'll Build a Stairway to Paradise,George Gershwin,Pop,1917,English,dataset/B.G._DeSylva-George_Gershwin-Ira_Gershwin/I'll_Build_a_Stairway_to_Paradise/I'll_Build_a_Stairway_to_Paradise.mxl
2080,When You Wore a Tulip and I Wore a Big Red Rose,Jack Mahoney,Pop,1914,English,dataset/Jack_Mahoney-Percy_Wenrich/When_You_Wore_a_Tulip_and_I_Wore_a_Big_Red_Rose/When_You_Wore_a_Tulip_and_I_Wore_a_Big_Red_Rose.mxl
2124,I'm Mandy Fly Me,Eric Stewart,Rock,,English,dataset/Eric_Stewart-Graham_Gouldman-Kevin_Godley/I'm_Mandy_Fly_Me/I'm_Mandy_Fly_Me.mxl
2137,Where the Blue of the Night Meets the Gold of the Day,Roy Turk,Pop,1931,English,dataset/Bing_Crosby-Fred_E._Ahlert-Roy_Turk/Where_the_Blue_of_the_Night_Meets_the_Gold_of_the_Day/Where_the_Blue_of_the_Night_Meets_the_Gold_of_the_Day.mxl
2154,My Wild Irish Rose,Chauncey Olcott,Pop,1899,English,dataset/Chauncey_Olcott/My_Wild_Irish_Rose/My_Wild_Irish_Rose.mxl
2164,The Night Is Young and You're So Beautiful,Irving Kahal,Pop,1936,English,dataset/Billy_Rose-Dana_Suesse-Irving_Kahal/The_Night_Is_Young_and_You're_So_Beautiful/The_Night_Is_Young_and_You're_So_Beautiful.mxl
2196,Molly Malone,[Traditional],"Folk, World, & Country",,English,dataset/[Traditional]/Molly_Malone/Molly_Malone.mxl
2245,Old Folks at Home,Stephen Foster,Pop,1845,English,dataset/Stephen_Foster/Old_Folks_at_Home/Old_Folks_at_Home.mxl
2261,Fascination,Fermo Dante Marchetti,Pop,1908,,dataset/Fermo_Dante_Marchetti/Fascination/Fascination.mxl
2269,It Had to Be You,Gus Kahn,Pop,1924,English,dataset/Gus_Kahn-Isham_Jones/It_Had_to_Be_You/It_Had_to_Be_You.mxl
