id,title,artist_name,genre,year,language,path
oestr054,"""Der Gemsjaeger"" DURT OBN AUF DER ALMA",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr054.krn
oestr014,HERZIGS SCHATZERL,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr014.krn
oestr084,Die elfjaehrige Markgraefin Ich han in ainem garten gesehen,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr084.krn
oestr033,DIE MARIANDL IST SO SCHOEN,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr033.krn
oestr005,MEIN LIEBE FRAU MUTTER,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr005.krn
oestr023,AUF DER ALMA DORT FINDEN DIE KUEH,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr023.krn
oestr019,BIN AUS UND EIN GANGN,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr019.krn
oestr067,Graf und Nonne (Die Nonne) Einst stand ich auf hohen Felsen,Unknown,folk,1910,German,folkKern/oesterrh/oestr067.krn
oestr096,"Bei da Lind'n bin i g'sessn,",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr096.krn
oestr059,"""Der Reigen"" ANNA MARI MARI WEND DI DREH DI",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr059.krn
oestr050,"""Die Trennung"" AI WAS SOLL I DENN KAFN",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr050.krn
oestr038,"""Der Wildschuetz"" GRIASS DI GOTT, MAIN LIABI ROES'L",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr038.krn
oestr060,"""Der Donaustrudel"" GEH I HALT WOHL IN DEN WALD",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr060.krn
oestr086,"Das Bauerntoechterlein Es hat ein Bau'r ein Toechterlein,",Unknown,folk,1907,German,folkKern/oesterrh/oestr086.krn
oestr098,Des Morgens in der Fruehe da treiben wir die Kuehe,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr098.krn
oestr062,Graf und Nonne (Die Nonne) Einst stieg ich auf hohen Felsen,Unknown,folk,1941,German,folkKern/oesterrh/oestr062.krn
oestr032,ICH WOLLT WOL AUSGEHN,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr032.krn
oestr076,Tod der Geschwister ohne Text,Unknown,folk,1956,German,folkKern/oesterrh/oestr076.krn
oestr056,"""Der Kohlenbauer"" BIN JA DAS KOHLENBAUABUA",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr056.krn
oestr063,"Graf und Nonne (Die Nonne) Ich stand auf hohen Felsen,",Unknown,folk,1941,German,folkKern/oesterrh/oestr063.krn
oestr068,Verschlafener Jaeger Es begab sich ein Jaeger auf's Jagen,Unknown,folk,1907,German,folkKern/oesterrh/oestr068.krn
oestr044,"""Ihr Bild"" SCHOEN MOLLAD UND FAIN",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr044.krn
oestr021,IM KUMME DAHEA VON ESTAREI,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr021.krn
oestr103,"Die Todesbraut Es lief ein Braeutlein ueber d'Wies,",Unknown,folk,1937,German,folkKern/oesterrh/oestr103.krn
oestr073,"Die Rabenmutter Ach, mein Herz, das koennte bluten,",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr073.krn
oestr036,"""Wiegenlied. "" HAIDL BUBAIDL IN GUADA RUA",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr036.krn
oestr012,MEI DIENDERL IS HARB AUF MI,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr012.krn
oestr058,"""Der geschlagene Mann"" S BEDLWAIBL WOLLT KIARISIARTN GEHN",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr058.krn
oestr016,HIEZT HAB I MEIN TREUHEIT,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr016.krn
oestr004,ES WAR EINMAL EIN RITTERSMANN,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr004.krn
oestr061,Des Morgens in der Fruehe da treiben wir die Kuehe,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr061.krn
oestr028,"""Die Henne"" ACH MEIN HENNCHEN",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr028.krn
oestr022,AUF D ALMA GEH I AUFE,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr022.krn
oestr020,DASS IM WALD FINSTR IS,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr020.krn
oestr049,"""Herzweh"" WO I LIEG WO I STEH",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr049.krn
oestr074,"Die Rabenmutter Der Halter wollt' den Wald austreibn,",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr074.krn
oestr079,"Genovefa Ein jedes betracht', was gewisshaft ist,",Unknown,folk,1937,German,folkKern/oesterrh/oestr079.krn
