id,title,artist_name,genres,year,language,path,language,rhythmic_density,num_notes,total_duration,avg_ioi,stdev_ioi,nPVI,periodicity,lz_complexity,norm_lz_complexity
10146,boulevard of broken dreams,Green Day,rock,,,/mxl/2/46/Qmcu7oAqRRU9iphVPam4pT5HEHv4LL2ykjjUw8YfgLRai4.mxl,English,0.7431506849315068,217.0,292.0,1.3032407407407407,2.8193180580442303,7.006819093461676,1.7083333333333333,36.0,0.16589861751152074
10147,iskolar ng bayan,Yano,rock,,,/mxl/2/4/Qmc5WADMojFkDGizHscT2fcMxRqrhHYmqe1W1cZAeeySqM.mxl,Spanish,0.954248366013072,146.0,153.0,1.0344827586206897,0.3967765479625525,18.528735632183906,2.0689655172413794,45.0,0.3082191780821918
10148,une ile,Serge Lama,pop,,,/mxl/2/4/Qmc5wMxPiQWRAbWN2ou7d4LNW2FCUGxJwjy3kvM3SATE4N.mxl,French,1.0444444444444445,141.0,135.0,0.95,0.7798809432947352,32.88257476102773,2.7750000000000004,58.0,0.41134751773049644
10149,I Can Tell The World,Misc Traditional,folk,,,/mxl/2/4/Qmc5QKHyc771utAw1yH2whTXzyTNpdD2eTh1yndHqVLhQt.mxl,English,0.98125,157.0,160.0,0.9615384615384616,1.498437713705193,25.06886263277235,4.006410256410256,54.0,0.34394904458598724
10150,Jüngst,Misc Traditional,folk,,,/mxl/2/4/Qmc5hCk84KUA76EyG5te5rrxYTZ31CkTPkoS8g2S3eMp7b.mxl,English,0.5833333333333334,28.0,48.0,0.7540983606557377,0.5840990738137662,28.999999999999993,2.7540983606557377,15.0,0.5357142857142857
10151,senorita,Shawn Mendes,pop,,,/mxl/2/35/QmcoAiJMh7x6ZiqxXykTEUjsc384UfvvGefWZ8zMJfuYPN.mxl,English,0.9059139784946236,337.0,372.0,0.6618705035971223,0.4405924205798479,26.961537140108597,1.25,101.0,0.2997032640949555
10152,paris-seychelles,Julien Doré,pop,,,/mxl/2/13/Qmcc2kaBcegD3pyfcJNs3V6d2WHLStCamYs4Si7q8fDWsV.mxl,French,0.819672131147541,200.0,244.0,1.0555555555555556,1.0387923306286182,13.661311154022512,3.0625,73.0,0.365
10153,Äeestu fiduloj Äojaj triumfantaj,Misc Traditional,folk,,,/mxl/2/13/Qmcc7PPTc8MoGk4YcPo1LdoQBuWNSs4VbojXojM6R2VXZA.mxl,No Lyrics,0.27380952380952384,23.0,84.0,1.095890410958904,1.1062014922313652,39.480519480519504,4.438356164383562,14.0,0.6086956521739131
10154,Puff The Magic Dragon,Peter Yarrow,folk,,,/mxl/2/13/QmccGZnKZRfLHNW5ahvx4s4DSrRzmk2PMivDkQkPkbK9w8.mxl,English,0.7368421052631579,56.0,76.0,0.9473684210526315,0.8134516587407227,20.81568500655643,2.8421052631578947,26.0,0.4642857142857143
10155,Samanthra,Misc Traditional,folk,,,/mxl/2/13/QmccSSiDVPMpTrdkzGWwn8X93zET3S4NWsYpDQrnzVrBkr.mxl,English,1.2222222222222223,77.0,63.0,0.7894736842105263,0.46779970617450467,18.956521739130423,2.2894736842105265,29.0,0.37662337662337664
10156,La nave del olvido,Julio Iglesias,pop,,,/mxl/2/32/QmcMBiqZNfyuuXDXAJzCGFe8jkqEBnM2cv3iZGxhBh5RSF.mxl,Spanish,1.0384615384615385,243.0,234.0,0.7728813559322034,0.7989040180092859,32.226258589895,2.247457627118644,82.0,0.3374485596707819
10157,The Day The Dreadful Day Draws Nigh,Misc Traditional,folk,,,/mxl/2/48/QmcvXGhjvDf8YrFrpcG7oNkK8KPSeyZcDeSoRnFAHtgEGH.mxl,No Lyrics,0.3076923076923077,16.0,52.0,0.8,0.33166247903554,20.279146141215115,,9.0,0.5625
10158,The signs which God to Gideon gave,Misc Traditional,folk,,,/mxl/2/48/Qmcvsma2RPHTrH1WPi9ASnSWNQGuhYpDTsybSFL3SmQ1pA.mxl,No Lyrics,0.046875,3.0,64.0,1.4634146341463414,0.8652522817105736,37.51638837353125,9.073170731707318,3.0,1.0
10159,how did you love,Shinedown,rock,,,/mxl/2/48/QmcvMtZra42WKZzv4jh2fnAvMUDzPuyGpUo3VVcum2ct8T.mxl,English,1.9098360655737705,466.0,244.0,0.4968944099378882,0.3312419118584632,21.51217564500301,1.3959627329192545,118.0,0.2532188841201717
10160,La bergère abandonneé,Misc Traditional,folk,,,/mxl/2/38/QmcqQNA3HvswKNRb328DRnj8Yci98Tf2CK49rGL33iVoYw.mxl,French,1.6533333333333333,62.0,37.5,0.5901639344262295,0.3358155807478935,29.820452771272443,1.6229508196721314,24.0,0.3870967741935484
10161,Savior Thou art life to me,Misc Traditional,folk,,,/mxl/2/38/Qmcqj5p7FE1Zj6cQ8YKCAs4pMVMj2Hq2CqMK5sWVwAtk4Y.mxl,English,0.234375,15.0,64.0,0.967741935483871,0.9666660686304319,43.70370370370371,8.0,10.0,0.6666666666666666
