id,title,common_name,genre,year,language,path,language,rhythmic_density,num_notes,total_duration,avg_ioi,stdev_ioi,nPVI,periodicity,lz_complexity,norm_lz_complexity
183,Hold Me,Ira Schuster,Rock,1917.0,English,dataset/David_Oppenheim-Ira_Schuster-Jack_Little/Hold_Me/Hold_Me.mxl,English,0.625,125,200.0,1.1927710843373494,1.1798543030871569,33.910766652702144,3.469879518072289,50,0.4
186,Let Me Call You Sweetheart,Leo Friedman,Pop,1898.0,English,dataset/Beth_Slater_Whitson-Leo_Friedman/Let_Me_Call_You_Sweetheart/Let_Me_Call_You_Sweetheart.mxl,English,0.5,48,96.0,1.4090909090909092,1.1278468723603894,19.574468085106385,2.757575757575758,23,0.4791666666666667
201,Oh! Susanna,Stephen Foster,Pop,1845.0,English,dataset/Stephen_Foster/Oh!_Susanna/Oh!_Susanna.mxl,English,0.85,85,100.0,0.9393939393939394,0.6752206047017328,26.26984126984128,1.8585858585858586,27,0.3176470588235294
210,Pick Yourself Up,Jerome Kern,Pop,1936.0,English,dataset/Dorothy_Fields-Jerome_Kern/Pick_Yourself_Up/Pick_Yourself_Up.mxl,English,0.875,112,128.0,0.7948717948717948,0.8786495225989965,28.934648934648944,1.2884615384615385,45,0.4017857142857143
228,Summertime,George Gershwin,Rock,1935.0,English,dataset/DuBose_Heyward-George_Gershwin-Ira_Gershwin/Summertime/Summertime.mxl,English,0.7769230769230769,101,130.0,1.0756302521008403,0.9815639255989352,54.222222222222214,2.96218487394958,50,0.49504950495049505
249,Silver Threads Among the Gold,H.P. Danks,Pop,1903.0,English,dataset/Eben_E._Rexford-H.P._Danks/Silver_Threads_Among_the_Gold/Silver_Threads_Among_the_Gold.mxl,English,0.953125,122,128.0,0.7948717948717948,0.9144001026170152,29.52023183428142,1.5512820512820513,41,0.3360655737704918
282,Lullaby of the Leaves,Joe Young,Rock,1932.0,English,dataset/Bernice_Petkere-Joe_Young/Lullaby_of_the_Leaves/Lullaby_of_the_Leaves.mxl,English,1.0546875,135,128.0,0.6888888888888883,0.7462664271203103,31.4395554694062,1.9916666666666656,61,0.45185185185185184
289,We Three Kings,John Henry Hopkins Jr.,Rock,1855.0,English,dataset/John_Henry_Hopkins_Jr./We_Three_Kings/We_Three_Kings.mxl,English,0.6448412698412699,325,504.0,0.9277777777777778,0.913056865428534,13.806584362139903,1.8555555555555556,74,0.2276923076923077
290,Shenandoah,[Traditional],Pop,,English,dataset/[Traditional]/Shenandoah/Shenandoah.mxl,English,0.5679012345679012,46,81.0,1.203125,1.204544617013002,47.87301587301588,2.375,27,0.5869565217391305
291,On Top of Old Smoky,[Traditional],Rock,1925.0,English,dataset/[Traditional]/On_Top_of_Old_Smoky/On_Top_of_Old_Smoky.mxl,English,0.625,30,48.0,1.1794871794871795,1.0711076191900217,41.8390804597701,2.3076923076923075,17,0.5666666666666667
337,Love in Bloom,Ralph Rainger,Pop,1934.0,English,dataset/Leo_Robin-Ralph_Rainger/Love_in_Bloom/Love_in_Bloom.mxl,English,0.8382352941176471,114,136.0,0.8571428571428575,0.8601588353415194,31.297552005516597,2.4155844155844166,54,0.47368421052631576
339,I Only Have Eyes for You,Al Dubin,Rock,1934.0,English,dataset/Al_Dubin-Harry_Warren/I_Only_Have_Eyes_for_You/I_Only_Have_Eyes_for_You.mxl,English,0.7058823529411765,144,204.0,0.9615384615384615,0.9867527382629486,33.38200261277182,1.7884615384615374,53,0.3680555555555556
348,Indian Summer,Victor Herbert,Pop,1891.0,,dataset/Victor_Herbert/Indian_Summer/Indian_Summer.mxl,English,0.8984375,115,128.0,0.8794326241134742,1.0711685404971516,11.372370319738742,2.8557919621749384,42,0.3652173913043478
355,In the Bleak Midwinter,Christina Rossetti,Rock,1862.0,English,dataset/Christina_Rossetti/In_the_Bleak_Midwinter/In_the_Bleak_Midwinter.mxl,English,0.7205882352941176,49,68.0,0.8243243243243243,0.8598885551315153,33.15295815295815,1.6216216216216217,28,0.5714285714285714
431,I'll Be Seeing You,Irving Kahal,Pop,1938.0,English,dataset/Irving_Kahal-Sammy_Fain/I'll_Be_Seeing_You/I'll_Be_Seeing_You.mxl,No Lyrics,0.90625,116,128.0,0.8157894736842105,0.7493071592054653,28.43340234644582,2.4276315789473686,52,0.4482758620689655
437,The Holly and the Ivy,[Traditional],Pop,,English,dataset/[Traditional]/The_Holly_and_the_Ivy/The_Holly_and_the_Ivy.mxl,English,1.2244897959183674,60,49.0,0.5476190476190477,0.4977272609611158,34.576271186440685,1.0833333333333333,26,0.43333333333333335
459,Hobo's Meditation,Jimmie Rodgers,"Folk, World, & Country",1932.0,English,dataset/Jimmie_Rodgers/Hobo's_Meditation/Hobo's_Meditation.mxl,No Lyrics,0.7946428571428571,178,224.0,0.9954751131221713,1.0582480936251135,32.99043705823365,1.886877828054297,64,0.3595505617977528
468,Did I Remember,Walter Donaldson,Pop,1936.0,English,dataset/Harold_Adamson-Walter_Donaldson/Did_I_Remember/Did_I_Remember.mxl,English,0.78125,100,128.0,0.9130434782608697,0.8013719594753189,28.811928811928805,2.6739130434782616,40,0.4
487,I'm Falling in Love with Someone,Victor Herbert,Pop,1910.0,English,dataset/Rida_Johnson_Young-Victor_Herbert/I'm_Falling_in_Love_with_Someone/I'm_Falling_in_Love_with_Someone.mxl,English,0.6666666666666666,98,147.0,0.9726027397260274,0.9340969228952409,22.41531664212077,1.9383561643835616,39,0.3979591836734694
509,Lily of Laguna,Leslie Stuart,Pop,1895.0,English,dataset/Leslie_Stuart/Lily_of_Laguna/Lily_of_Laguna.mxl,English,1.0,64,64.0,0.6976744186046512,0.652718241892381,41.23960695389267,1.3255813953488371,33,0.515625
